KX883254,"Wenling tombus-like virus 2 strain WLJQ104302 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4s",Wenling tombus-like virus 2,1372,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883255,"Wenling tombus-like virus 3 strain WLJQ76752 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenling tombus-like virus 3,1302,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883256,Wenling noda-like virus 4 strain WLJQ84133 hypothetical protein,Wenling noda-like virus 4,1005,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883257,"Wenling tombus-like virus 5 strain WLJQ104103 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenling tombus-like virus 5,1584,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883258,Wenzhou noda-like virus 1 strain WZFSL84567 hypothetical protein 1 and hypothetical protein 2s,Wenzhou noda-like virus 1,1529,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883259,Wenzhou tombus-like virus 16 strain WZFSL78689 hypothetical protein,Wenzhou tombus-like virus 16,1489,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883260,Wenzhou noda-like virus 6 strain WZFSL85309 hypothetical protein,Wenzhou noda-like virus 6,1039,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883261,"Wenzhou tombus-like virus 6 strain WZFSL85189 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenzhou tombus-like virus 6,1886,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883262,"Wenzhou tombus-like virus 12 strain WZFSL84432 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4s",Wenzhou tombus-like virus 12,1628,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883263,"Shahe isopoda virus 5 strain WZFSL84267 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4s",Shahe isopoda virus 5,1457,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883264,Wenzhou tombus-like virus 2 strain WZFSL84050 hypothetical protein 1 and hypothetical protein 2s,Wenzhou tombus-like virus 2,981,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883265,Wenzhou tombus-like virus 17 strain WZFSL82820 hypothetical protein 1 and hypothetical protein 2s,Wenzhou tombus-like virus 17,898,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883266,"Wenzhou tombus-like virus 3 strain WZFSL80503 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenzhou tombus-like virus 3,949,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883267,"Wenzhou tombus-like virus 13 strain WZFSL80420 hypothetical protein 1 and hypothetical protein 2s; and hypothetical protein 3, partial cds",Wenzhou tombus-like virus 13,1421,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883268,Wenzhou tombus-like virus 1 strain WZFSL78713 hypothetical protein 1 and hypothetical protein 2s,Wenzhou tombus-like virus 1,947,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883269,Wenzhou noda-like virus 4 strain WZFSL75166 hypothetical protein 1 and hypothetical protein 2s,Wenzhou noda-like virus 4,1733,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883270,"Wenzhou noda-like virus 5 strain WZFSL73727 hypothetical protein, partial cds",Wenzhou noda-like virus 5,1214,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883271,Wenzhou tombus-like virus 15 strain WZFSL70232 hypothetical protein and hypothetical protein 2s,Wenzhou tombus-like virus 15,1579,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883272,"Wenzhou tombus-like virus 5 strain WZFSL67420 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenzhou tombus-like virus 5,1370,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883273,Wenzhou tombus-like virus 10 strain WZFSL57346 hypothetical protein 1 and hypothetical protein 2s,Wenzhou tombus-like virus 10,1481,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883274,Wenzhou tombus-like virus 7 strain WZFSL44625 hypothetical protein 1 and hypothetical protein 2s,Wenzhou tombus-like virus 7,930,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883275,"Wenzhou tombus-like virus 14 strain WZFSL15005 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenzhou tombus-like virus 14,1714,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883276,"Wenzhou crab virus 4 strain WZRBX43276 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenzhou crab virus 4,1592,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883277,Wenzhou noda-like virus 7 strain WZRBX38997 hypothetical protein 1 and hypothetical protein 2s,Wenzhou noda-like virus 7,1041,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883278,Wenzhou noda-like virus 2 strain WZSLuoI54252 hypothetical protein,Wenzhou noda-like virus 2,1014,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883279,"Wenzhou tombus-like virus 9 strain WZSLuoI85212 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Wenzhou tombus-like virus 9,1649,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883280,Xinzhou nematode virus 7 strain XZSJSC65582 hypothetical protein 1 and hypothetical protein 2s,Xinzhou nematode virus 7,1081,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883281,"Beihai tombus-like virus 4 strain YYSZX17783 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Beihai tombus-like virus 4,1732,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883282,Beihai noda-like virus 18 strain YYSZX13070 hypothetical protein,Beihai noda-like virus 18,1073,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883283,Hubei orthoptera virus 4 strain ZCM21011 RNA-dependent RNA polymerase,Hubei orthoptera virus 4,1008,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883284,Hubei orthoptera virus 4 strain ZCM21011 capsid protein,Hubei orthoptera virus 4,558,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883285,Zhejiang mosquito virus 1 strain 3mos6204 hypothetical protein,Zhejiang mosquito virus 1,3165,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883286,Hubei earwig virus 3 strain arthropodmix12795 hypothetical protein 1 and hypothetical protein 2s,Hubei earwig virus 3,4357,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883287,Wuhan house centipede virus 3 strain arthropodmix13505 hypothetical protein,Wuhan house centipede virus 3,3742,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883288,Wuhan insect virus 12 strain arthropodmix13526 hypothetical protein,Wuhan insect virus 12,3698,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883289,Hubei tetragnatha maxillosa virus 4 strain arthropodmix13651 hypothetical protein,Hubei tetragnatha maxillosa virus 4,3012,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883290,Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2s,Hubei picorna-like virus 15,3303,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883291,Hubei picorna-like virus 42 strain arthropodmix13971 hypothetical protein 1 and hypothetical protein 2s,Hubei picorna-like virus 42,3043,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883292,Hubei picorna-like virus 29 strain arthropodmix14031 hypothetical protein,Hubei picorna-like virus 29,3436,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883293,Wuhan insect virus 11 strain arthropodmix14080 hypothetical protein 1 and hypothetical protein 2s,Wuhan insect virus 11,3268,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883294,Hubei tetragnatha maxillosa virus 2 strain arthropodmix14091 hypothetical protein,Hubei tetragnatha maxillosa virus 2,3252,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883295,Wuhan house centipede virus 2 strain arthropodmix22554 hypothetical protein,Wuhan house centipede virus 2,4321,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883296,Hubei tetragnatha maxillosa virus 1 strain arthropodmix23158 hypothetical protein,Hubei tetragnatha maxillosa virus 1,2867,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883297,Hubei arthropod virus 1 strain arthropodmix4509 hypothetical protein,Hubei arthropod virus 1,3179,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883298,Wenzhou shrimp virus 7 strain beimix73547 hypothetical protein 1 and hypothetical protein 2s,Wenzhou shrimp virus 7,3332,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883299,Wenzhou picorna-like virus 2 strain beimix73672 hypothetical protein 1 and hypothetical protein 2s,Wenzhou picorna-like virus 2,2965,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883300,Wenzhou picorna-like virus 52 strain beimix75583 hypothetical protein 1 and hypothetical protein 2s,Wenzhou picorna-like virus 52,2997,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883301,Wenzhou picorna-like virus 48 strain beimix75770 hypothetical protein,Wenzhou picorna-like virus 48,3183,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883302,Wenzhou bivalvia virus 1 strain beimix75829 hypothetical protein,Wenzhou bivalvia virus 1,3763,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883303,"Wenzhou picorna-like virus 8 strain beimix75836 hypothetical protein 1; and hypothetical protein 2, partial cds",Wenzhou picorna-like virus 8,2723,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883304,Beihai picorna-like virus 80 strain BHBei50452 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 80,2640,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883305,Beihai picorna-like virus 60 strain BHBei55726 hypothetical protein,Beihai picorna-like virus 60,2939,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883306,Beihai picorna-like virus 55 strain BHBei68636 hypothetical protein,Beihai picorna-like virus 55,2899,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883307,"Beihai picorna-like virus 78 strain BHBei73249 hypothetical protein 1; and hypothetical protein 2, partial cds",Beihai picorna-like virus 78,2199,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883308,Beihai picorna-like virus 16 strain BHBei73558 hypothetical protein,Beihai picorna-like virus 16,2553,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883309,Beihai picorna-like virus 62 strain BHBei74566 hypothetical protein,Beihai picorna-like virus 62,2835,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883310,Beihai picorna-like virus 77 strain BHBei75652 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 77,2909,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883311,Beihai picorna-like virus 50 strain BHBei76574 hypothetical protein,Beihai picorna-like virus 50,2514,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883312,Beihai razor shell virus 1 strain BHBei76693 hypothetical proteins,Beihai razor shell virus 1,2783,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883313,Beihai picorna-like virus 61 strain BHBei76813 hypothetical protein,Beihai picorna-like virus 61,3037,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883314,Beihai razor shell virus 2 strain BHBei76898 hypothetical protein 1 and hypothetical protein 2s,Beihai razor shell virus 2,2900,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883315,"Beihai picorna-like virus 70 strain BHBei76899 hypothetical protein 1; and hypothetical protein 2, partial cds",Beihai picorna-like virus 70,2517,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883316,Wenzhou channeled applesnail virus 3 strain BHBei77067 hypothetical protein,Wenzhou channeled applesnail virus 3,2792,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883317,Beihai picorna-like virus 111 strain BHBei77071 hypothetical protein,Beihai picorna-like virus 111,3161,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883318,Beihai picorna-like virus 103 strain BHBei77089 hypothetical protein,Beihai picorna-like virus 103,2104,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883319,Wenzhou picorna-like virus 29 strain BHBei77092 hypothetical protein 1 and hypothetical protein 2s,Wenzhou picorna-like virus 29,3154,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883320,Beihai picorna-like virus 58 strain BHBei77093 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 58,2803,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883321,Beihai picorna-like virus 59 strain BHBei77099 hypothetical protein,Beihai picorna-like virus 59,3032,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883322,"Beihai picorna-like virus 88 strain BHBJDX16027 hypothetical protein, partial cds",Beihai picorna-like virus 88,2498,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883323,Beihai picorna-like virus 35 strain BHBJDX17224 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2981,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883324,Beihai shrimp virus 1 strain BHBJDX17672 hypothetical protein 1 and hypothetical protein 2s,Beihai shrimp virus 1,3819,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883325,Beihai sipunculid worm virus 4 strain BHBJDX17813 hypothetical protein 1 and hypothetical protein 2s,Beihai sipunculid worm virus 4,2762,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883326,Beihai picorna-like virus 2 strain BHBJDX18281 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 2,3327,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883327,Beihai hermit crab virus 1 strain BHBJDX18472 hypothetical protein 1 and hypothetical protein 2s,Beihai hermit crab virus 1,3295,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883328,Beihai picorna-like virus 93 strain BHBJDX18546 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 93,3537,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883329,Beihai picorna-like virus 101 strain BHBJDX18559 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 101,2449,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883330,Beihai picorna-like virus 15 strain BHBJDX18577 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 15,3024,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883331,Beihai picorna-like virus 124 strain BHBJDX18598 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 124,2740,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883332,Beihai picorna-like virus 1 strain BHBJDX18697 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 1,3049,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883333,Beihai razor shell virus 1 strain BHBJDX18719 hypothetical protein 1 and hypothetical protein 2s,Beihai razor shell virus 1,2875,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883334,Beihai shrimp virus 2 strain BHBJDX18741 hypothetical protein 1 and hypothetical protein 2s,Beihai shrimp virus 2,3298,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883335,Beihai picorna-like virus 43 strain BHBJDX18749 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 43,2978,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883336,Beihai picorna-like virus 9 strain BHBJDX18814 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 9,2892,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883337,"Beihai picorna-like virus 95 strain BHBJDX18836 hypothetical protein, partial cds",Beihai picorna-like virus 95,2644,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883338,Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 79,3117,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883339,Beihai picorna-like virus 15 strain BHCL77416 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 15,3036,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883340,Beihai picorna-like virus 123 strain BHCL81476 hypothetical protein,Beihai picorna-like virus 123,3536,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883341,Beihai picorna-like virus 105 strain BHHK79817 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 105,2951,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883342,"Beihai picorna-like virus 118 strain BHHK118641 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Beihai picorna-like virus 118,3009,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883343,Beihai picorna-like virus 16 strain BHHK123579 hypothetical protein,Beihai picorna-like virus 16,2822,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883344,Beihai picorna-like virus 72 strain BHHK126587 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 72,3167,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883345,Beihai picorna-like virus 35 strain BHHK128006 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2979,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883346,Beihai picorna-like virus 85 strain BHHK129719 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 85,3062,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883347,Beihai picorna-like virus 2 strain BHHK129932 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 2,3325,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883348,Beihai picorna-like virus 14 strain BHHK130444 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 14,3078,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883349,Beihai picorna-like virus 74 strain BHHK130969 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 74,2886,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883350,Beihai picorna-like virus 70 strain BHHK131042 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 70,3071,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883351,Beihai mollusks virus 1 strain BHHK131425 hypothetical protein 1 and hypothetical protein 2s,Beihai mollusks virus 1,3015,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883352,Beihai picorna-like virus 73 strain BHHK131512 hypothetical protein,Beihai picorna-like virus 73,3031,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883353,Beihai picorna-like virus 115 strain BHHK131520 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 115,3485,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883354,Beihai picorna-like virus 117 strain BHHQ50349 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 117,3137,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883355,Beihai picorna-like virus 64 strain BHHQ137467 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 64,2882,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883356,Beihai picorna-like virus 57 strain BHHQ57630 hypothetical protein,Beihai picorna-like virus 57,2839,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883357,Beihai picorna-like virus 66 strain BHHQ76843 hypothetical protein,Beihai picorna-like virus 66,3077,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883358,Beihai sea slater virus 2 strain BHHZL10411 hypothetical protein 1 and hypothetical protein 2s,Beihai sea slater virus 2,4257,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883359,Beihai sea slater virus 1 strain BHHZL10310 hypothetical protein,Beihai sea slater virus 1,3250,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883360,Beihai picorna-like virus 121 strain BHHZL10364 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 121,2873,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883361,"Beihai picorna-like virus 25 strain BHJJX20433 hypothetical protein 1; and hypothetical protein 2, partial cds",Beihai picorna-like virus 25,2504,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883362,Beihai picorna-like virus 99 strain BHJJX22326 hypothetical protein,Beihai picorna-like virus 99,2167,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883363,Beihai picorna-like virus 35 strain BHJJX23572 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2979,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883364,Beihai picorna-like virus 19 strain BHJJX24523 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 19,2946,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883365,Beihai picorna-like virus 20 strain BHJJX25607 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 20,3363,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883366,Beihai hermit crab virus 1 strain BHJJX25619 hypothetical protein 1 and hypothetical protein 2s,Beihai hermit crab virus 1,3298,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883367,Beihai picorna-like virus 43 strain BHJJX25682 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 43,2776,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883368,Beihai picorna-like virus 72 strain BHJJX25705 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 72,3115,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883369,Beihai picorna-like virus 2 strain BHJJX25716 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 2,3327,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883370,Beihai picorna-like virus 15 strain BHJJX25823 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 15,3027,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883371,Beihai picorna-like virus 1 strain BHJJX25883 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 1,3049,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883372,Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 91,3121,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883373,"Beihai picorna-like virus 36 strain BHJJX25939 hypothetical protein, partial cds",Beihai picorna-like virus 36,2615,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883374,Beihai picorna-like virus 16 strain BHJJX25950 hypothetical protein,Beihai picorna-like virus 16,2822,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883375,Beihai picorna-like virus 70 strain BHJJX25952 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 70,3071,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883376,Beihai picorna-like virus 41 strain BHJJX25957 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 41,3087,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883377,Beihai picorna-like virus 73 strain BHJJX25960 hypothetical protein,Beihai picorna-like virus 73,3035,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883378,Beihai picorna-like virus 87 strain BHJJX25970 hypothetical protein,Beihai picorna-like virus 87,3811,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883379,Beihai echinoderm virus 1 strain BHJP42036 hypothetical protein,Beihai echinoderm virus 1,2725,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883380,Beihai picorna-like virus 57 strain BHJP51916 hypothetical protein,Beihai picorna-like virus 57,2839,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883381,Beihai picorna-like virus 75 strain BHJP52955 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 75,3369,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883382,Beihai picorna-like virus 64 strain BHJP54755 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 64,2882,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883383,Beihai picorna-like virus 119 strain BHJP60437 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 119,3619,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883384,"Beihai picorna-like virus 117 strain BHJP63029 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Beihai picorna-like virus 117,3150,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883385,Beihai picorna-like virus 40 strain BHNXC39087 hypothetical protein,Beihai picorna-like virus 40,2071,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883386,Beihai picorna-like virus 35 strain BHNXC40527 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 35,2971,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883387,Beihai picorna-like virus 2 strain BHNXC40556 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 2,3327,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883388,Beihai sipunculid worm virus 1 strain BHNXC40689 hypothetical protein 1 and hypothetical protein 2s,Beihai sipunculid worm virus 1,2959,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883389,Beihai picorna-like virus 100 strain BHNXC41148 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 100,3298,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883390,Beihai picorna-like virus 43 strain BHNXC41212 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 43,2981,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883391,Beihai picorna-like virus 15 strain BHNXC41227 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 15,3030,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883392,Beihai picorna-like virus 1 strain BHNXC41230 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 1,3048,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883393,Beihai picorna-like virus 6 strain BHNXC41284 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 6,3138,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883394,Beihai picorna-like virus 111 strain BHNXC41286 hypothetical protein,Beihai picorna-like virus 111,3118,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883395,"Beihai mollusks virus 1 strain BHNXC41338 hypothetical protein 1; and hypothetical protein 2, partial cds",Beihai mollusks virus 1,2457,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883396,Beihai sipunculid worm virus 4 strain BHNXC41347 hypothetical protein 1 and hypothetical protein 2s,Beihai sipunculid worm virus 4,2828,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883397,Beihai picorna-like virus 32 strain BHNXC41402 hypothetical protein,Beihai picorna-like virus 32,2013,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883398,Beihai picorna-like virus 5 strain BHNXC41415 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 5,3296,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883399,Beihai picorna-like virus 27 strain BHNXC41439 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 27,3136,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883400,Beihai picorna-like virus 53 strain BHNXC41443 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 53,3316,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883401,Beihai picorna-like virus 8 strain BHNXC41454 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 8,3091,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883402,Beihai picorna-like virus 30 strain BHNXC41477 hypothetical protein 1 and hypothetical protein 2s,Beihai picorna-like virus 30,3153,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883403,"Beihai picorna-like virus 7 strain BHNXC41478 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3s",Beihai picorna-like virus 7,3112,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883404,Beihai sipunculid worm virus 2 strain BHNXC41483 hypothetical protein 1 and hypothetical protein 2s,Beihai sipunculid worm virus 2,3131,Viruses; unclassified RNA viruses,,,,,,,,,,
KX883405,Beihai picorna-like virus 52 strain BHNXC41485 hypothetical protein,Beihai picorna-like virus 52,3426,Viruses; unclassified RNA viruses,,,,,,,,,,
